segment_name,confidence_assessment,pydub_avg_loudness_dBFS,pydub_silence_%,librosa_avg_RMS,librosa_silence_%,librosa_avg_pitch_Hz,WebRTC_VAD_speech_%,WebRTC_VAD_silence_%,parselmouth_mean_pitch_Hz,parselmouth_jitter,parselmouth_shimmer,mediapipe_mouth_openness_mean,mediapipe_mouth_openness_variance,mediapipe_eyebrow_height_mean,mediapipe_eyebrow_height_variance,mediapipe_frames_analyzed,deepface_most_frequent_emotion,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_neutral,deepface_sad,deepface_surprise,openface_dominant_emotion_approx,openface_AU01_r,openface_AU02_r,openface_AU04_r,openface_AU05_r,openface_AU06_r,openface_AU07_r,openface_AU09_r,openface_AU10_r,openface_AU12_r,openface_AU14_r,openface_AU15_r,openface_AU17_r,openface_AU20_r,openface_AU23_r,openface_AU25_r,openface_AU26_r,openface_AU45_r,openface_happy,openface_surprised,openface_angry,openface_sad,mediapipe_left_hand_variability,mediapipe_right_hand_variability,mediapipe_avg_hand_movement_amplitude,mediapipe_valid_frames_analyzed,mediapipe_total_frames,mediapipe_coverage_%,wpm
8Dv2Hdf5TRg_seg000,4.0,-28.62,28.43,0.0694999992847442,17.2,1636.2099609375,81.43,18.57,221.38,0.0256,0.1125,0.01028,5e-05,0.02172,1e-05,25.0,sad,12.0,4.0,24.0,8.0,24.0,28.0,0.0,angry,0.345,0.136,0.907,0.064,0.565,0.611,0.102,0.828,0.709,0.173,0.332,0.607,0.198,0.263,0.567,0.554,0.234,0.709,0.481,0.907,0.332,0.00914,0.01406,0.37095,366.0,733.0,49.9,188.48
8Dv2Hdf5TRg_seg001,4.0,-27.74,24.44,0.0790000036358833,21.63,1552.56005859375,80.63,19.37,217.52,0.0257,0.1084,0.00838,3e-05,0.02263,1e-05,26.0,sad,3.8,0.0,30.8,0.0,15.4,42.3,7.7,angry,0.252,0.126,0.865,0.057,0.417,1.017,0.098,0.624,0.437,0.042,0.149,0.634,0.148,0.385,0.569,0.763,0.219,0.437,0.378,0.865,0.149,0.02253,0.02035,0.26223,414.0,754.0,54.9,229.01
8Dv2Hdf5TRg_seg002,3.0,-26.05,18.63,0.0829999968409538,14.81,1551.6600341796875,86.09,13.91,214.47,0.0254,0.1136,0.00642,3e-05,0.02367,0.0,26.0,fear,38.5,0.0,50.0,0.0,0.0,3.8,7.7,angry,0.205,0.167,0.722,0.107,0.451,0.958,0.096,0.52,0.305,0.144,0.354,0.673,0.155,0.381,0.526,0.698,0.22,0.305,0.373,0.722,0.354,0.01383,0.01323,0.26249,458.0,771.0,59.4,214.69
8Dv2Hdf5TRg_seg003,3.0,-26.63,23.49,0.0834000036120414,17.71,1546.699951171875,81.7,18.3,217.81,0.0263,0.1092,0.00763,3e-05,0.02237,1e-05,26.0,fear,7.7,0.0,46.2,19.2,3.8,15.4,7.7,angry,0.298,0.154,0.844,0.077,0.712,1.039,0.188,0.685,0.551,0.147,0.335,0.513,0.132,0.298,0.568,0.563,0.232,0.551,0.452,0.844,0.335,0.01914,0.01813,0.30258,666.0,755.0,88.2,207.82
8Dv2Hdf5TRg_seg004,3.0,-25.87,19.54,0.0803000032901763,11.9,1533.7099609375,82.07,17.93,227.92,0.0266,0.1134,0.00807,4e-05,0.02131,1e-05,25.0,fear,16.0,0.0,48.0,12.0,0.0,16.0,8.0,angry,0.426,0.241,0.782,0.198,0.645,1.161,0.101,0.942,0.646,0.377,0.368,0.781,0.151,0.435,0.759,0.813,0.191,0.646,0.667,0.782,0.368,0.01209,0.01251,0.32375,583.0,723.0,80.6,165.28
8Dv2Hdf5TRg_seg005,3.0,-25.75,17.7,0.0829999968409538,12.94,1574.239990234375,86.22,13.78,219.47,0.0271,0.1151,0.01088,6e-05,0.02942,3e-05,25.0,fear,32.0,0.0,36.0,0.0,4.0,24.0,4.0,angry,0.313,0.227,0.953,0.149,0.56,0.949,0.095,0.674,0.502,0.344,0.364,0.72,0.196,0.383,0.737,1.033,0.223,0.502,0.54,0.953,0.364,0.02087,0.01507,0.18426,303.0,731.0,41.5,173.17
8Dv2Hdf5TRg_seg006,4.0,-28.05,24.68,0.0745000019669532,19.86,1589.5999755859375,80.41,19.59,223.76,0.0297,0.1174,0.00664,2e-05,0.02067,0.0,25.0,sad,8.0,0.0,32.0,4.0,8.0,48.0,0.0,angry,0.328,0.163,0.791,0.111,0.456,0.886,0.138,0.585,0.463,0.145,0.27,0.703,0.193,0.239,0.658,0.843,0.216,0.463,0.491,0.791,0.27,0.02098,0.02295,0.22778,707.0,738.0,95.8,179.28
8Dv2Hdf5TRg_seg007,4.0,-28.75,27.36,0.0732000023126602,21.67,1564.0699462890625,79.92,20.08,212.48,0.0268,0.1091,0.0104,6e-05,0.03349,2e-05,25.0,fear,28.0,0.0,32.0,12.0,8.0,16.0,4.0,angry,0.432,0.307,1.038,0.156,0.384,0.842,0.113,0.693,0.367,0.221,0.524,0.926,0.173,0.489,0.884,0.969,0.298,0.367,0.739,1.038,0.524,0.00235,0.00242,0.14974,79.0,735.0,10.7,191.97
8Dv2Hdf5TRg_seg008,4.0,-27.84,25.99,0.0799999982118606,21.64,1562.9200439453125,80.5,19.5,213.18,0.0246,0.1104,0.00788,3e-05,0.02718,1e-05,25.0,fear,4.0,0.0,36.0,20.0,12.0,24.0,4.0,angry,0.304,0.103,0.794,0.07,0.476,0.856,0.071,0.711,0.361,0.268,0.373,0.801,0.124,0.165,0.592,0.911,0.237,0.361,0.408,0.794,0.373,0.00972,0.00668,0.25114,300.0,727.0,41.3,197.95
8Dv2Hdf5TRg_seg009,4.0,-26.31,23.26,0.0837000012397766,14.55,1593.4000244140625,84.83,15.17,232.94,0.0258,0.1054,0.01107,6e-05,0.0324,2e-05,27.0,fear,18.5,0.0,51.9,7.4,3.7,18.5,0.0,angry,0.357,0.168,0.722,0.082,0.421,1.08,0.173,0.457,0.253,0.079,0.212,0.609,0.223,0.35,0.595,0.661,0.207,0.253,0.526,0.722,0.212,0.00676,0.00679,0.2579,272.0,792.0,34.3,197.94
