segment_name,wpm
8Dv2Hdf5TRg_seg000,188.48
8Dv2Hdf5TRg_seg001,229.01
8Dv2Hdf5TRg_seg002,214.69
8Dv2Hdf5TRg_seg003,207.82
8Dv2Hdf5TRg_seg004,165.28
8Dv2Hdf5TRg_seg005,173.17
8Dv2Hdf5TRg_seg006,179.28
8Dv2Hdf5TRg_seg007,191.97
8Dv2Hdf5TRg_seg008,197.95
8Dv2Hdf5TRg_seg009,197.94
8Dv2Hdf5TRg_seg010,193.19
8Dv2Hdf5TRg_seg011,213.67
8Dv2Hdf5TRg_seg012,198.36
8Dv2Hdf5TRg_seg013,206.12
8Dv2Hdf5TRg_seg014,218.74
8Dv2Hdf5TRg_seg015,214.29
8Dv2Hdf5TRg_seg016,199.93
8Dv2Hdf5TRg_seg017,208.0
8Dv2Hdf5TRg_seg018,215.75
8Dv2Hdf5TRg_seg019,231.75
8Dv2Hdf5TRg_seg020,205.26
8XQ1onjXJK0_seg000,131.26
8XQ1onjXJK0_seg001,157.65
8XQ1onjXJK0_seg002,152.21
8XQ1onjXJK0_seg003,128.17
8XQ1onjXJK0_seg004,148.58
8XQ1onjXJK0_seg005,172.73
8XQ1onjXJK0_seg006,134.6
8XQ1onjXJK0_seg007,191.71
8XQ1onjXJK0_seg008,187.44
8XQ1onjXJK0_seg009,166.02
8XQ1onjXJK0_seg010,159.97
8XQ1onjXJK0_seg011,206.16
8XQ1onjXJK0_seg012,157.33
8XQ1onjXJK0_seg013,139.03
8XQ1onjXJK0_seg014,170.35
8XQ1onjXJK0_seg015,187.2
8XQ1onjXJK0_seg016,147.84
8XQ1onjXJK0_seg017,137.77
8XQ1onjXJK0_seg018,202.69
8XQ1onjXJK0_seg019,194.31
8XQ1onjXJK0_seg020,166.03
8XQ1onjXJK0_seg021,188.91
8XQ1onjXJK0_seg022,193.74
8XQ1onjXJK0_seg023,181.04
8XQ1onjXJK0_seg024,187.68
8XQ1onjXJK0_seg025,168.37
8XQ1onjXJK0_seg026,178.04
8XQ1onjXJK0_seg027,142.64
8XQ1onjXJK0_seg028,178.38
8XQ1onjXJK0_seg029,143.08
8XQ1onjXJK0_seg030,182.96
8XQ1onjXJK0_seg031,129.18
8XQ1onjXJK0_seg032,151.34
BFZtNN6eNvQ_seg001,69.39
BFZtNN6eNvQ_seg002,75.07
BFZtNN6eNvQ_seg003,75.28
BFZtNN6eNvQ_seg004,65.01
BFZtNN6eNvQ_seg005,78.1
BFZtNN6eNvQ_seg006,64.29
BFZtNN6eNvQ_seg007,52.37
BFZtNN6eNvQ_seg008,79.81
BFZtNN6eNvQ_seg009,72.98
BFZtNN6eNvQ_seg010,60.89
BFZtNN6eNvQ_seg011,85.71
BFZtNN6eNvQ_seg012,69.67
BFZtNN6eNvQ_seg013,62.13
BFZtNN6eNvQ_seg014,73.54
BFZtNN6eNvQ_seg015,54.65
BFZtNN6eNvQ_seg016,60.22
Cd0JH1AreDw_seg000,167.89
Cd0JH1AreDw_seg001,211.76
Cd0JH1AreDw_seg002,142.63
Cd0JH1AreDw_seg003,147.62
Cd0JH1AreDw_seg004,144.53
Cd0JH1AreDw_seg005,157.15
Cd0JH1AreDw_seg006,132.77
Cd0JH1AreDw_seg007,137.18
Cd0JH1AreDw_seg008,170.88
Cd0JH1AreDw_seg009,173.24
Cd0JH1AreDw_seg010,128.79
Cd0JH1AreDw_seg011,144.48
Cd0JH1AreDw_seg012,130.56
Cd0JH1AreDw_seg013,178.47
Cd0JH1AreDw_seg014,178.79
Cd0JH1AreDw_seg015,128.64
Cd0JH1AreDw_seg016,155.82
Cd0JH1AreDw_seg017,150.72
Cd0JH1AreDw_seg018,170.19
Cd0JH1AreDw_seg019,156.61
Cd0JH1AreDw_seg020,147.78
Cd0JH1AreDw_seg021,119.37
Cd0JH1AreDw_seg022,146.2
Cd0JH1AreDw_seg023,173.45
Cd0JH1AreDw_seg024,165.12
Cd0JH1AreDw_seg025,162.31
Cd0JH1AreDw_seg026,174.19
Cd0JH1AreDw_seg027,152.85
Cd0JH1AreDw_seg028,141.58
Cd0JH1AreDw_seg029,163.48
D9Ihs241zeg_seg000,170.66
D9Ihs241zeg_seg001,141.29
D9Ihs241zeg_seg002,180.85
D9Ihs241zeg_seg003,183.73
D9Ihs241zeg_seg004,175.14
D9Ihs241zeg_seg005,163.58
D9Ihs241zeg_seg006,180.1
D9Ihs241zeg_seg007,161.07
D9Ihs241zeg_seg008,142.53
D9Ihs241zeg_seg009,199.8
D9Ihs241zeg_seg010,164.54
D9Ihs241zeg_seg011,157.02
D9Ihs241zeg_seg012,166.83
D9Ihs241zeg_seg013,177.47
D9Ihs241zeg_seg014,147.65
D9Ihs241zeg_seg015,159.69
D9Ihs241zeg_seg016,172.14
D9Ihs241zeg_seg017,155.89
D9Ihs241zeg_seg018,172.87
D9Ihs241zeg_seg019,118.71
D9Ihs241zeg_seg020,181.94
D9Ihs241zeg_seg021,169.79
D9Ihs241zeg_seg022,148.03
D9Ihs241zeg_seg023,157.64
D9Ihs241zeg_seg024,170.4
D9Ihs241zeg_seg025,172.56
D9Ihs241zeg_seg026,176.64
D9Ihs241zeg_seg027,204.48
D9Ihs241zeg_seg028,148.05
D9Ihs241zeg_seg029,166.18
D9Ihs241zeg_seg030,149.95
D9Ihs241zeg_seg031,158.93
eZj5n8ScTkI_seg000,141.76
eZj5n8ScTkI_seg001,153.8
eZj5n8ScTkI_seg002,144.48
eZj5n8ScTkI_seg003,161.55
eZj5n8ScTkI_seg004,137.52
eZj5n8ScTkI_seg005,148.1
eZj5n8ScTkI_seg006,162.91
eZj5n8ScTkI_seg008,144.18
eZj5n8ScTkI_seg009,147.56
eZj5n8ScTkI_seg010,152.07
eZj5n8ScTkI_seg012,148.29
eZj5n8ScTkI_seg013,158.68
