iter	Passed	Remaining
0	588	234701
1	594	118287
2	1167	154495
3	1216	120438
4	1261	99677
5	1281	84171
6	1567	87980
7	2109	103374
8	2142	93080
9	2710	105724
10	2727	96453
11	3250	105085
12	3790	112844
13	3823	105409
14	3853	98913
15	4004	96104
16	4631	104351
17	5172	109781
18	5182	103925
19	5192	98656
20	5201	93882
21	5251	90229
22	5416	88776
23	5509	86318
24	6073	91102
25	6639	95512
26	6649	91861
27	7204	95720
28	7220	92372
29	7254	89472
30	7811	92976
31	8351	96044
32	8887	98842
33	9427	101489
34	9973	104011
35	10511	106284
36	11054	108458
37	11589	110409
38	12160	112566
39	12698	114283
40	13233	115873
41	13773	117403
42	14312	118824
43	14859	120226
44	15387	121393
45	15944	122701
46	16491	123858
47	17022	124835
48	17560	125788
49	18097	126684
50	18661	127706
51	19270	128965
52	19907	130334
53	20504	131382
